program_id,program_name,deskripsi,prospek_kerja,mata_kuliah_unggulan,durasi_studi,jenjang,kelompok_prodi,akreditasi_umum,top_kampus_prodi,est_biaya,list_kampus_prodi
1,Administrasi Pendidikan,"Mempelajari pengelolaan, perencanaan, dan pengembangan sistem serta lembaga pendidikan agar berjalan efektif dan efisien.","Manajer Pendidikan, Administrator Sekolah, Pengembang Kurikulum, Konsultan Pendidikan, Pegawai Dinas Pendidikan","Manajemen Sekolah, Perencanaan Pendidikan, Kepemimpinan Pendidikan, Supervisi Pendidikan",4 tahun (S1),S1,Sosial / Pendidikan,Unggul / A,"Universitas Pendidikan Indonesia (UPI), Universitas Negeri Yogyakarta (UNY), Universitas Negeri Malang (UM)",Rp 3.000.000 - Rp 6.500.000,"UPI, UNY, UM, Universitas Negeri Semarang (UNNES), Universitas Negeri Jakarta (UNJ), Universitas Sebelas Maret (UNS), Universitas Negeri Surabaya (UNESA)"
2,Agrobisnis,"Mempelajari bisnis berbasis pertanian, mulai dari penyediaan sarana, proses produksi, hingga pemasaran hasil tani.","Pengusaha Pertanian (Agripreneur), Manajer Perkebunan, Analis Kredit Pertanian, Konsultan Pangan","Manajemen Agribisnis, Tata Niaga Pertanian, Ekonomi Pertanian, Kewirausahaan Agro",4 tahun (S1),S1,Pertanian,Unggul / A,"IPB University, Universitas Gadjah Mada (UGM), Universitas Brawijaya (UB)",Rp 4.500.000 - Rp 9.500.000,"IPB University, UGM, UB, Universitas Padjadjaran (UNPAD), Universitas Sebelas Maret (UNS), Universitas Hasanuddin (UNHAS)"
3,Agroteknologi,"Fokus pada penerapan teknologi modern untuk meningkatkan efisiensi, kualitas produksi tanaman, dan kelestarian lahan.","Ahli Agronomi, Peneliti Tanaman, Konsultan Pertanian, Pengusaha Hidroponik/Organik","Bioteknologi Pertanian, Ilmu Kesuburan Tanah, Pengendalian Hama Terpadu",4 tahun (S1),S1,Pertanian,Unggul / A,"IPB University, Universitas Gadjah Mada (UGM), Universitas Brawijaya (UB)",Rp 4.500.000 - Rp 9.500.000,"IPB University, UGM, UB, Universitas Padjadjaran (UNPAD), Universitas Sebelas Maret (UNS), Universitas Hasanuddin (UNHAS)"
4,Akuntansi,"Mempelajari metode pencatatan, penggolongan, pengauditan, dan pelaporan transaksi keuangan untuk keputusan bisnis.","Akuntan Publik, Auditor internal/eksternal, Analis Keuangan, Spesialis Pajak, Financial Controller","Akuntansi Keuangan, Auditing, Perpajakan, Akuntansi Manajemen, Sistem Informasi Akuntansi",4 tahun (S1),S1,Ekonomi dan Bisnis,Unggul / A,"Universitas Indonesia (UI), Universitas Gadjah Mada (UGM), Universitas Airlangga (UNAIR)",Rp 5.000.000 - Rp 13.000.000,"UI, UGM, UNAIR, Universitas Padjadjaran (UNPAD), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB), Universitas Sebelas Maret (UNS)"
5,Animasi,"Mempelajari teknik pembuatan gambar bergerak 2D & 3D, efek visual (VFX), serta pembuatan karakter untuk industri kreatif.","Animator 2D/3D, 3D Modeler, Storyboard Artist, VFX Artist, Game Designer, Motion Designer","Pemodelan 3D (3D Modeling), Animasi Karakter, Storyboarding, Efek Visual, Digital Compositing",3-4 tahun,S1 / D4 / D3,Seni / Desain / Kreatif,Unggul / B,"Institut Teknologi Bandung (ITB), Institut Seni Indonesia (ISI) Yogyakarta, Universitas Telkom",Rp 6.500.000 - Rp 16.000.000,"ITB, ISI Yogyakarta, Universitas Telkom, BINUS University, Institut Seni Indonesia (ISI) Surakarta, Universitas Negeri Malang (UM)"
6,Bahasa Dan Sastra Inggris,"Mempelajari linguistik, kesusastraan, dan kebudayaan dari negara-negara berbahasa Inggris, serta teknik penerjemahan.","Penerjemah, Content Writer, Copywriter, Jurnalis, Diplomat, Dosen/Guru, Editor","Introduction to Literature, Phonetics and Phonology, Translation, Critical Discourse Analysis, English Morphology",4 tahun (S1),S1,Sastra / Humaniora,Unggul / A,"Universitas Indonesia (UI), Universitas Gadjah Mada (UGM), Universitas Padjadjaran (UNPAD)",Rp 3.500.000 - Rp 8.500.000,"UI, UGM, UNPAD, Universitas Airlangga (UNAIR), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB)"
7,Desain Komunikasi Visual,"Mempelajari konsep penyampaian pesan visual melalui karya seni dan desain dengan menggunakan tipografi, ilustrasi, dan fotografi.","Graphic Designer, Art Director, UI/UX Designer, Illustrator, Fotografer, Videografer","Nirmana, Tipografi, Desain Identitas Visual, Fotografi Dasar, Videografi, Animasi Dasar",4 tahun (S1),S1 / D4,Seni / Desain / Kreatif,Unggul / A,"Universitas Indonesia (UI), Universitas Gadjah Mada (UGM), Universitas Airlangga (UNAIR)",Rp 5.000.000 - Rp 13.000.000,"UI, UGM, UNAIR, Universitas Padjadjaran (UNPAD), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB), Universitas Sebelas Maret (UNS)"
8,Ekonomi Pembangunan,"Mempelajari teori ekonomi terapan yang fokus pada isu-isu pembangunan ekonomi makro, moneter, perbankan, dan kebijakan publik.","Analis Ekonomi, Perencana Keuangan, Pegawai Bappenas/BI, Konsultan Ekonomi, Peneliti","Ekonomi Makro, Ekonomi Mikro, Ekonomi Publik, Ekonomi Moneter, Ekonometrika, Perencanaan Pembangunan",4 tahun (S1),S1,Ekonomi dan Bisnis,Unggul / A,"Universitas Indonesia (UI), Universitas Gadjah Mada (UGM), Universitas Airlangga (UNAIR)",Rp 5.000.000 - Rp 13.000.000,"UI, UGM, UNAIR, Universitas Padjadjaran (UNPAD), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB), Universitas Sebelas Maret (UNS)"
9,Geografi,"Mempelajari tentang permukaan bumi, iklim, fenomena lingkungan, serta interaksi spasial antara manusia dengan alam.","Ahli Sistem Informasi Geografis (SIG), Perencana Wilayah, Ahli Kartografi, Analis Lingkungan, Surveyor","Kartografi, Penginderaan Jauh (Remote Sensing), Sistem Informasi Geografis, Geomorfologi, Geografi Manusia",4 tahun (S1),S1,Sains / MIPA / Soshum,Unggul / A,"Universitas Gadjah Mada (UGM), Universitas Indonesia (UI), Institut Teknologi Bandung (ITB)",Rp 5.000.000 - Rp 11.000.000,"UGM, UI, ITB, Institut Teknologi Sepuluh Nopember (ITS), IPB University, Universitas Padjadjaran (UNPAD)"
10,Ilmu Administrasi Negara,"Mempelajari sistem pemerintahan, pembuatan kebijakan publik, manajemen publik, serta tata kelola birokrasi dan aparatur negara.","Analis Kebijakan Publik, Pegawai Negeri Sipil (PNS), Staf Ahli Pemerintahan, Konsultan Publik, Spesialis HR","Teori Administrasi Publik, Hukum Administrasi Negara, Analisis Kebijakan Publik, Manajemen Pelayanan Publik, Tata Kelola Pemerintahan",4 tahun (S1),S1,Sosial / Politik (Soshum),Unggul / A,"Universitas Indonesia (UI), Universitas Gadjah Mada (UGM), Universitas Airlangga (UNAIR)",Rp 5.000.000 - Rp 13.000.000,"UI, UGM, UNAIR, Universitas Padjadjaran (UNPAD), Universitas Diponegoro (UNDIP), Universitas Brawijaya (UB), Universitas Sebelas Maret (UNS)"
